ID,Predicted
115502,2084P0800X
115505,2084P0800X
115511,207P00000X
115513,2084P0800X
115530,2084P0800X
115532,363A00000X
115536,207N00000X
115537,2084N0600X
115538,207Q00000X
115542,2084N0400X
115545,207R00000X
115552,2084P0800X
115555,2084P0800X
115556,
115566,207Q00000X
115576,
115577,2084P0800X
115578,364SP0807X
115579,2084N0400X
115580,2084P0800X
115582,207RG0100X
115587,207R00000X
115595,2084N0400X
115596,
115598,2084P0800X
115601,207P00000X
115605,363LF0000X
115607,2084N0600X
115608,207QS0010X
115610,2084N0400X
115616,2084P0800X
115617,2084P0800X
115621,
115622,207ZP0102X
115623,207R00000X
115624,2084N0400X
115626,2084N0400X
115628,207RR0500X
115634,207R00000X
115635,207Q00000X
115644,207RH0003X
115646,207Q00000X
115647,207N00000X
115653,207R00000X
115654,207T00000X
115657,2084N0400X
115664,2084P0800X
115665,207L00000X
115668,2084N0400X
115671,2084F0202X
115681,2084N0400X
115682,2084N0402X
115683,2084N0400X
115697,207R00000X
115700,208000000X
115703,207T00000X
115704,207R00000X
115706,2084N0400X
115711,207RG0100X
115720,2084N0400X
115732,208000000X
115735,2084P0800X
115736,2084N0400X
115737,2084N0400X
115739,2084N0600X
115741,2084P0800X
115742,207Q00000X
115747,207R00000X
115748,
115754,207R00000X
115757,2084A0401X
115763,207RG0100X
115764,207RX0202X
115770,207R00000X
115771,2084P0800X
115772,
115778,208000000X
115779,
115782,2084P0800X
115784,2084N0400X
115785,
115788,2084N0400X
115796,208000000X
115799,2084N0400X
115800,2084P0804X
115802,207Q00000X
115804,207R00000X
115814,2084N0400X
115816,207Q00000X
115818,2084N0400X
115826,2084P0804X
115827,2084P0800X
115828,2084N0400X
115833,2084P0800X
115836,2084P0800X
115839,2084P0800X
115842,207Q00000X
115843,2084P0800X
115854,207Q00000X
115857,2084P0800X
115861,207Q00000X
115866,2084N0400X
115867,
115868,2084N0400X
115869,207RG0300X
115870,2084N0400X
115877,207Q00000X
115878,207Q00000X
115879,207Q00000X
115882,207Q00000X
115886,207W00000X
115887,207R00000X
115897,2084P0800X
115901,2085R0001X
115902,2084N0400X
115909,2084P0800X
115912,2084N0400X
115914,207R00000X
115915,2084N0400X
115917,2084P0800X
115918,207Q00000X
115919,207Q00000X
115920,2084P0800X
115924,207T00000X
115930,207Q00000X
115932,2084N0600X
115937,207R00000X
115939,207R00000X
115942,2084P0800X
115945,207R00000X
115947,207R00000X
115949,207V00000X
115955,2084P0800X
115964,207R00000X
115966,
115967,207Q00000X
115969,2084P0800X
115975,207RC0000X
115986,2084N0400X
115989,2084N0400X
115992,2084P0800X
115995,2084N0400X
115996,207Q00000X
115998,207R00000X
115999,207Q00000X
116010,2084A0401X
116011,2084N0400X
116012,208000000X
116013,
116015,2084P2900X
116016,
116022,207Q00000X
116025,2084P0800X
116029,207Q00000X
116030,207N00000X
116034,207Q00000X
116035,2084P0802X
116038,207RI0011X
116041,174400000X
116045,2084N0400X
116047,
116051,2084P0800X
116052,207RG0100X
116053,207Q00000X
116056,207Q00000X
116060,207Q00000X
116064,2084S0012X
116065,2084P0800X
116066,2084N0400X
116069,207RC0000X
116070,2084P0800X
116072,2084N0400X
116074,2084S0012X
116076,207Q00000X
116079,207RR0500X
116082,208000000X
116085,207R00000X
116087,207Q00000X
116092,2084N0400X
116097,2084P0800X
116098,2084P0800X
116100,207Q00000X
116106,2084N0400X
116115,207RC0200X
116125,2084N0400X
116127,2084P0800X
116128,207RH0003X
116134,207RP1001X
116135,
116136,2084N0400X
116147,207R00000X
116152,2084P0802X
116153,2084N0400X
116160,
116166,207R00000X
116168,207Q00000X
116171,
116172,207RH0003X
116173,207Q00000X
116178,2084P0800X
116200,2084P0800X
116202,2084N0402X
116204,2084N0400X
116222,2084P0800X
116225,2084P0800X
116228,207RH0003X
116229,2084N0400X
116236,2084N0400X
116237,363LF0000X
116239,2084N0400X
116240,207RG0100X
116244,2084P0800X
116246,204C00000X
116253,207P00000X
116254,207R00000X
116255,2084N0400X
116266,207Q00000X
116267,208800000X
116273,2084P0804X
116280,
116281,207Q00000X
116287,2084N0400X
116290,2084N0400X
116291,2084N0400X
116292,
116295,2084P0804X
116297,208000000X
116298,2084P0800X
116302,207Q00000X
116304,207R00000X
116305,2084N0400X
116306,
116311,
116313,2084P0800X
116317,207X00000X
116319,207RG0100X
116330,2084N0400X
116332,2084N0400X
116335,2084N0400X
116338,2084N0400X
116342,2084P0800X
116343,207VE0102X
116345,208000000X
116351,2084N0600X
116353,
116357,2084P0800X
116361,2084N0400X
116365,2084P0800X
116370,207R00000X
116372,2084N0600X
116388,207N00000X
116392,207Q00000X
116394,2084P0800X
116404,207R00000X
116406,2084F0202X
116418,2084P0800X
116424,207R00000X
116427,2084N0400X
116431,2084P0800X
116432,207Q00000X
116434,207Q00000X
116436,2084P0804X
116438,2084N0400X
116441,207R00000X
116445,
116458,207RA0000X
116461,207Q00000X
116466,2084P0800X
116472,2084N0400X
116473,2084P0800X
116474,207Q00000X
116476,2084N0400X
116477,207R00000X
116480,207Q00000X
116481,207ZP0102X
116484,2084N0400X
116491,2084P0800X
116492,2084B0040X
116495,207T00000X
116496,207Q00000X
116497,2084P0800X
116499,207RG0100X
116501,2084P0800X
116513,2085R0001X
116518,207RH0003X
116522,2084P0800X
116525,207RE0101X
116526,2084P0800X
116529,2084P0800X
116530,2084N0400X
116531,207R00000X
116533,2084P0800X
116535,207Q00000X
116536,2084P0804X
116541,2084N0402X
116543,207Q00000X
116545,2084N0400X
116548,2084P0800X
116549,2084P0800X
116551,2084P0800X
116552,2084P0800X
116557,390200000X
116558,207L00000X
116563,207R00000X
116564,207P00000X
116568,2084P0800X
116576,
116577,207Q00000X
116580,363A00000X
116589,2084N0400X
116590,207NS0135X
116594,207RG0100X
116595,
116598,207R00000X
116600,363LF0000X
116602,
116603,207RG0300X
116605,207R00000X
116607,207Q00000X
116610,2084N0400X
116616,207RP1001X
116617,2084N0400X
116620,2084P0800X
116621,207Y00000X
116624,2084P0800X
116627,2084P0800X
116633,2084P0800X
116637,2084N0400X
116638,207RI0011X
116639,2084P0800X
116645,2084P0800X
116646,2084N0402X
116652,2084N0400X
116653,207R00000X
116658,2084P0800X
116662,
116665,207RG0100X
116666,
116667,207Q00000X
116671,207V00000X
116676,2081P2900X
116677,208000000X
116682,207R00000X
116685,2084P0800X
116687,363LA2200X
116690,
116692,207Q00000X
116700,2084P0804X
116702,2084N0400X
116704,2084N0400X
116707,2083X0100X
116709,2084P0800X
116712,207RH0003X
116714,207R00000X
116716,208000000X
116718,207R00000X
116720,
116721,2085R0001X
116723,208000000X
116733,207Q00000X
116734,2084P0800X
116738,207R00000X
116740,207V00000X
116744,2084N0400X
116747,2084N0400X
116754,207Q00000X
116759,2084P0804X
116762,2084N0600X
116766,2084N0400X
116772,
116773,2084P0800X
116780,207P00000X
116781,207N00000X
116784,207RI0011X
116794,2084P0800X
116797,2084P0800X
116799,207R00000X
116801,207R00000X
116802,2084N0400X
116804,207R00000X
116805,2084P0800X
116806,2084P0800X
116809,207R00000X
116810,
116811,207R00000X
116814,
116815,207R00000X
116820,2084P0800X
116829,2084N0400X
116835,207Q00000X
116843,207Q00000X
116844,207R00000X
116846,2084N0400X
116850,122300000X
116856,2084P0800X
116859,2084N0400X
116861,2084V0102X
116862,207RG0100X
116863,207RG0300X
116865,207R00000X
116869,2084N0400X
116872,207R00000X
116877,207Q00000X
116878,2084N0400X
116881,
116888,
116890,207R00000X
116892,207R00000X
116894,
116895,207R00000X
116897,2084N0400X
116898,207Q00000X
116903,2084N0400X
116907,2084N0400X
116910,363LF0000X
116911,207QG0300X
116912,2084N0400X
116914,207R00000X
116918,2084P0800X
116920,2084N0400X
116921,207Q00000X
116923,207N00000X
116936,2084P0800X
116943,208000000X
116944,2084N0400X
116947,207R00000X
116952,2084P0800X
116954,2084P0800X
116955,207Q00000X
116960,207R00000X
116961,390200000X
116963,2084N0400X
116964,207Q00000X
116969,2084P0800X
116971,207T00000X
116972,207R00000X
116974,208800000X
116976,2084F0202X
116983,2084P0800X
116984,207VX0000X
116985,363AM0700X
116986,207R00000X
116988,208000000X
116991,207R00000X
116992,207R00000X
116994,207RH0003X
116997,2084P0800X
117000,363LP0200X
117003,208000000X
117010,
117011,2084N0400X
117019,2084N0400X
117021,207Q00000X
117023,2084P0804X
117026,2084P0800X
117028,
117040,
117046,2084N0400X
117053,2080P0207X
117057,207R00000X
117065,2084V0102X
117066,2085R0001X
117077,207Q00000X
117078,2084N0400X
117079,2084P0800X
117080,2084A0401X
117089,207Q00000X
117092,2084P0800X
117095,2084P0800X
117100,207R00000X
117104,2080P0207X
117107,207R00000X
117109,207ZB0001X
117110,2084N0400X
117112,2084P0800X
117116,2084P0800X
117126,2084N0400X
117128,2084P0800X
117136,2084N0400X
117137,207QG0300X
117138,207RC0000X
117143,
117144,208100000X
117148,2084N0400X
117158,2084P0800X
117159,207R00000X
117169,2084N0400X
117172,2084N0400X
117175,2084P0800X
117176,2084P0800X
117177,207Q00000X
117181,207N00000X
117185,2084N0400X
117189,
117191,208000000X
117210,207Q00000X
117212,2084N0400X
117220,2084N0400X
117221,
117222,207RG0300X
117224,207RG0100X
117227,2084N0400X
117233,207R00000X
117234,207Q00000X
117235,363LC1500X
117236,207Q00000X
117237,174400000X
117238,207Q00000X
117239,207Q00000X
117242,2084P0015X
117246,2084N0400X
117248,208000000X
117256,2084N0400X
117259,207Y00000X
117260,207N00000X
117264,2084P0800X
117265,207R00000X
117271,207Q00000X
117274,2084P0800X
117280,207Q00000X
117285,207R00000X
117291,207Q00000X
117295,207Q00000X
117298,2084P0800X
117301,2084N0400X
117302,2084P0800X
117303,2084N0400X
117315,207RE0101X
117322,207Q00000X
117326,2084P0800X
117328,2084P0800X
117329,
117333,207R00000X
117334,
117348,207RG0100X
117354,2084P0800X
117355,2084P0800X
117356,
117364,
117372,2084P0800X
117377,208000000X
117382,207Q00000X
117385,
117387,207Q00000X
117388,207Q00000X
117397,2084P0800X
117399,2085R0001X
117404,2084N0400X
117408,
117413,207Q00000X
117418,
117420,2084P0800X
117424,207RH0003X
117428,208000000X
117429,2084N0400X
117433,2084N0400X
117445,2084N0600X
117446,2084P0800X
117447,
117449,2084N0400X
117450,2084N0400X
117454,207R00000X
117455,207R00000X
117457,2084N0600X
117462,2084N0400X
117463,207W00000X
117465,
117469,207Q00000X
117470,207Q00000X
117474,207Q00000X
117475,207RE0101X
117476,207Q00000X
117479,2084P0800X
117481,2086S0122X
117485,2084N0400X
117486,
117499,2084P0804X
117501,2084P0800X
117503,2084N0400X
117507,207Q00000X
117509,
117510,207R00000X
117523,
117528,2084P0800X
117533,2084P0800X
117537,207Q00000X
117542,207LP2900X
117545,2084P0800X
117553,207KA0200X
117554,2084P0800X
117555,2084N0400X
117558,207Q00000X
117559,207Q00000X
117560,2084P0800X
117564,2084N0400X
117569,207P00000X
117571,2084N0400X
117576,207P00000X
117581,207R00000X
117583,207R00000X
117585,2084P0800X
117591,207Q00000X
117592,2084N0400X
117595,207Q00000X
117601,207Q00000X
117604,207RI0011X
117612,2084P0800X
117615,2084P0804X
117618,2084N0400X
117623,2084P0800X
117626,2084N0400X
117627,2084N0400X
117638,2084N0400X
117640,2084N0400X
117643,207RX0202X
117646,207R00000X
117647,207Q00000X
117649,207R00000X
117655,2084N0400X
117657,207Q00000X
117660,207R00000X
117662,208000000X
117663,2084N0400X
117664,2080P0202X
117665,208D00000X
117668,207Q00000X
117669,
117672,207W00000X
117673,207R00000X
117675,2084P0800X
117682,2084P0800X
117683,2084P0800X
117685,
117686,2084N0400X
117689,2084N0402X
117692,2084P0800X
117696,207Q00000X
117697,208000000X
117701,2084P0800X
117702,207R00000X
117703,207R00000X
117707,2084P0800X
117713,207R00000X
117721,207R00000X
117727,2084P0800X
117729,174400000X
117730,207KI0005X
117733,174400000X
117734,207PE0005X
117743,2084P0800X
117744,207Q00000X
117745,207Q00000X
117750,207R00000X
117757,207T00000X
117759,208D00000X
117767,
117770,2084P0800X
117771,207Q00000X
117773,2083X0100X
117774,207Q00000X
117781,2084P0804X
117782,2084N0400X
117783,2084N0400X
117790,207P00000X
117793,2084N0400X
117796,207RP1001X
117802,207P00000X
